term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),12940637.77171715,4061.002061278076,0.004032473484514619,0.9967825603845744,1.1078575096895664e-122,NA
age,0.9888935094152376,0.04185357757777201,-0.2668500236547884,0.7895846369786139,0.9073319887414326,1.076357421478199
genderM,4.429657081218379,1.0022466299731516,1.4849859587932837,0.13754754365754818,0.6443095079196165,37.37674229371941
riskIntermediate,3.4419754240522285e-8,4061.001655440572,-0.004231624767546139,0.9966236620073496,NA,5593586257485217e94
riskLow,2.179599898694392e-9,4061.0016175476935,-0.0049111343426999675,0.9960814974838215,NA,34048225999316753e86
stageII,30.079863956079848,1.6400131940583957,2.075505239022793,0.03793973381712331,1.5000535242255593,1070.372860692798
stageIII,1594568.800284194,7460.863988504394,0.0019142707781575532,0.9984726338337337,1.0931185835240554e-251,NA
stageIVA,9.130838726593758,11430.263704920995,1.93491385009919e-4,0.9998456162122156,0,Inf
stageIVB,0.5427360389610045,6768.308232604832,-9.029319769907271e-5,0.9999279564517083,3.672344790994778e-98,1108147982348491e85
responseExcellent,0.005414956238864614,1.4800329530221676,-3.525996140404261,4.218931173666847e-4,1.4183046624253694e-4,0.06427211374818392
responseIndeterminate,0.04271139531405519,1.17100036467009,-2.6928168601019786,0.007085117570469219,0.002928940556928134,0.3326313432573551
responseStructural Incomplete,102.78460774911883,1.4971681745723129,3.0942653540353535,0.001973009344859448,8.57530599635541,4137.629793558413
adenopathyExtensive,3226971.8583755605,5633.3985457576355,0.0026603931230119527,0.9978773159054335,2.160788832178469e-188,NA
adenopathyLeft,231.53737398525868,2.2757167041550983,2.3925391474498934,0.016732243004418012,3.768276751278172,37563.6881220177
adenopathyNo,5.5503547888412745,1.3503292125734851,1.26921778457729,0.20436339970455628,0.41974318733264754,102.62224548008504
adenopathyPosterior,0.03623353946939976,13170.030045311381,-2.51918186442752e-4,0.9997989983705778,3.673362578967879e-163,9148917151769648e139
adenopathyRight,11.285437458542086,1.7868325477129545,1.356318014926965,0.1749980060355238,0.38007619107296414,524.8991033888674
